Color,Deck,Qty,Card
Black,Pay the Price,1,Vicious Offering
Black,Pay the Price,1,Altar’s Reap
Black,Pay the Price,1,Reaping the Graves
Black,Pay the Price,1,Demonic vigor
Black,Pay the Price,1,Final Death
Black,Pay the Price,1,Dusk Legion Zealot
Black,Pay the Price,1,Sightless Ghoul
Black,Pay the Price,1,Phyrexian rager
Black,Pay the Price,1,Spark Reaper
Black,Pay the Price,1,Bloodflow Connoisseur
Black,Pay the Price,1,Doomed Dissenter
Black,Pay the Price,1,Voracious Null
Black,Pay the Price,7,Swamp
Black,Pay the Price,1,Thriving Moor
